country_code,n_loans,total_loan_amount,population,population_below_poverty_line,poverty_rate,iso3,urban_rural_gap,atms_per_100k,bank_accounts_per_1000,bank_branches_per_100k,credit_private_gdp,bank_branches_per_100k_z,atms_per_100k_z,bank_accounts_per_1000_z,financial_access_index
BW,1,8000.0,2291661.0,30.3,0.303,BWA,,45.509122999999995,781.1284766666666,9.2223758,36.93063333333333,-0.26293542322206365,0.07080270803083465,0.30380010165195465,0.03722246215357522
BZ,218,150175.0,374681.0,41.0,0.41,BLZ,0.022,45.019005,730.4140550000001,18.45629925,60.75913333333333,0.22075824069980682,0.06115303811785879,0.19564812708008159,0.15918646863258237
CA,1,50000.0,36624199.0,9.4,0.094,CAN,,214.1332175,,20.175418,,0.310809544612694,3.390751886186836,,1.850780715399765
CD,5074,18813425.0,81339988.0,63.0,0.63,COD,0.258,1.4008722,44.614974,0.78125871,6.4194666666666675,-0.7051001081432514,-0.7976209382314068,-1.2668653421108038,-0.9231954628284873
CG,952,2265350.0,5260750.0,46.5,0.465,COG,0.211,,,,13.70375,,,,
CI,283,345300.0,24294750.0,46.3,0.4629999999999999,CIV,0.265,6.735445833333333,273.46414,4.991073133333334,20.07636666666667,-0.484580566923399,-0.6925913847603419,-0.7788288355583828,-0.6520002624140412
CL,892,2595925.0,18054726.0,14.4,0.144,CHL,,49.59049466666667,,13.107393333333334,122.17266666666666,-0.059429473094362736,0.15115864144994173,,0.0458645841777895
CM,5085,2250800.0,24053727.0,30.0,0.3,CMR,0.302,4.8188610333333335,127.35476666666666,2.1675610666666665,14.6821,-0.632482474931269,-0.730325992916392,-1.0904170723980289,-0.8177418467485632
CN,134,380525.0,1409517397.0,3.3,0.033,CHN,0.021,93.51430900000001,32.94524166666667,8.8437102,168.69,-0.28277077841608717,1.0159510172359942,-1.2917518448667797,-0.18619053534895755
CO,33675,23613975.0,49065615.0,27.8,0.278,COL,0.052,41.48494575,1649.6248,13.9056545,51.805566666666664,-0.017614759060584746,-0.008427155254756236,2.1559279420183115,0.7099620092343235
CR,4681,5644350.0,4905769.0,21.7,0.217,CRI,,70.55834766666668,1413.8455999999999,18.60448666666667,58.94933333333333,0.2285206306419303,0.5639834310593879,1.6531126637414193,0.8152055751475791
DO,4654,9308000.0,10766998.0,30.5,0.305,DOM,0.019,39.337534,813.3318533333332,12.198723666666666,28.6287,-0.10702763250564369,-0.05070639118313688,0.3724760060578799,0.07158066078969978
EC,33471,35519000.0,16624858.0,25.6,0.256,ECU,0.0249999999999999,23.923270666666667,879.047665,9.61415465,42.72013333333334,-0.24241316652048822,-0.35418953834026023,0.5126194713439054,-0.027994411172281037
EG,2460,1415025.0,97553151.0,25.2,0.252,EGY,0.009,20.28500233333333,427.8859333333333,6.129997366666667,25.55763333333333,-0.42492115580380524,-0.4258214483527467,-0.449513794253142,-0.433418799469898
GE,6483,9570425.0,3912061.0,9.2,0.092,GEO,,84.52842199999999,984.55731,32.27388833333333,70.06003333333332,0.9445546124668196,0.8390327171015329,0.7376260092894538,0.8404044462859354
GH,22121,15262725.0,28833629.0,24.2,0.242,GHA,0.1599999999999999,11.369703000000001,751.4304733333333,7.663194700000001,13.685333333333332,-0.34460883356170985,-0.6013499858519635,0.24046707732106354,-0.23516391403086997
GT,12864,18718050.0,16913503.0,59.3,0.593,GTM,0.113,36.6898685,,25.395268,35.0515,0.5842370194335488,-0.1028348543592993,,0.24070108253712474
GU,4,17300.0,,,,GUM,,,,,,,,,
GZ,8,5000.0,,,,,,,,,,,,,
HN,15130,11989325.0,9265067.0,29.6,0.296,HND,0.097,24.9152305,,17.22315225,65.47183333333334,0.15616322929279067,-0.3346593742601871,,-0.08924807248369822
HT,4765,4496150.0,10981229.0,58.5,0.585,HTI,0.229,2.9613658,265.14186,2.6803173333333334,10.10368,-0.6056231492431293,-0.7668972183490284,-0.7965766671486936,-0.7230323449136171
ID,10699,8104600.0,263991379.0,10.9,0.109,IDN,0.054,53.148113333333335,,15.668045,38.41563333333334,0.07470321637228464,0.2212026835164949,,0.1479529499443898
IL,464,1732725.0,8321570.0,22.0,0.22,ISR,,131.578875,1079.4980500000001,16.36496375,66.47216666666667,0.11120938684994339,1.7653838013424485,0.9400936340965363,0.9388956074296427
IN,15104,8988200.0,1339180127.0,21.9,0.2189999999999999,IND,0.186,21.36755666666667,,14.606026666666667,51.935,0.01907230914376544,-0.4045076178475858,,-0.19271765435191018
IQ,3570,9166125.0,38274618.0,23.0,0.23,IRQ,0.055,4.387792566666667,,4.057163733333334,10.15166,-0.5335008402939863,-0.7388130683007402,,-0.6361569542973633
JO,10161,11007450.0,9702353.0,14.2,0.142,JOR,0.001,28.702543333333335,,14.335841333333333,78.8119,0.0049193941314634735,-0.2600930071835966,,-0.12758680652606658
KE,143699,66735975.0,49699862.0,43.4,0.434,KEN,0.1689999999999999,7.77232755,,4.7127455000000005,31.392533333333333,-0.4991599939098446,-0.672176777860303,,-0.5856683858850739
KG,11243,14726900.0,6045117.0,32.1,0.321,KGZ,0.003,39.366962666666666,656.6321166666667,7.865890966666666,25.426833333333335,-0.33399114754577436,-0.050126985980078954,0.03830309471554943,-0.11527167960343464
KH,79701,51613525.0,16005373.0,17.7,0.177,KHM,0.141,25.16948425,,10.03015985,117.78836666666666,-0.22062187915622586,-0.32965350881220046,,-0.27513769398421317
LA,1758,1284800.0,6858160.0,22.0,0.22,LAO,0.191,26.671582,613.06857,3.1994408666666665,,-0.5784302918163041,-0.30007951343858863,-0.054599149587291285,-0.31103631828072803
LB,20083,27397150.0,6082357.0,28.6,0.286,LBN,,37.25681725,512.93583,20.65169175,,0.33575783408192383,-0.0916725050983575,-0.26813906968086887,-0.008017913565767512
LK,264,74800.0,20876917.0,6.7,0.067,LKA,,,,,50.0192,,,,
LR,11170,3928775.0,4731906.0,54.1,0.541,LBR,0.191,3.5629788666666666,,3.044552233333333,16.9764,-0.586543706548679,-0.7550523819858128,,-0.6707980442672459
LS,648,516450.0,2233339.0,57.0,0.57,LSO,0.135,14.100204666666665,406.83971,3.762471533333333,20.426166666666663,-0.5489374800624475,-0.5475906059063913,-0.49439630569616827,-0.5303081305550024
MD,732,1357300.0,4051212.0,20.8,0.208,MDA,0.002,50.52123633333334,1326.1536333333333,32.752085,25.3201,0.9696036286328813,0.16948351394510913,1.4661035440983472,0.8683968955587792
MG,4872,1539075.0,25570895.0,70.7,0.7070000000000001,MDG,0.283,3.0438477,97.11364266666665,2.4498287,14.4763,-0.6176966618895163,-0.765273276545636,-1.1549083387161176,-0.84595942571709
ML,13352,15504675.0,18541980.0,36.1,0.361,MLI,0.341,4.9780099,176.45091666666667,4.885557033333334,25.357566666666667,-0.49010773739303787,-0.7271925964070666,-0.9857161728930087,-0.7343388355643711
MM,2724,4201550.0,53370609.0,25.6,0.256,MMR,0.128,6.2486283,290.465305,5.3511749,28.18466666666667,-0.4657176270423305,-0.7021760735587859,-0.7425726878129228,-0.6368221294713464
MN,9659,15348375.0,3075647.0,21.6,0.216,MNG,0.083,70.42624766666667,,65.21905699999999,50.031000000000006,2.6702965928060656,0.5613825851498229,,1.6158395889779442
MR,1,15000.0,4420184.0,31.0,0.31,MRT,0.294,10.627381,173.02382666666665,11.156997333333335,22.5711,-0.1615955991670843,-0.6159651647867102,-0.9930246768324146,-0.5901951469287363
MW,1731,2182675.0,18622104.0,50.7,0.507,MWI,0.179,4.781754899999999,174.26979,2.2793704999999997,,-0.6266256455171126,-0.7310565556347856,-0.9903675747633058,-0.7826832586384014
MX,19708,25106300.0,129163276.0,46.2,0.462,MEX,0.012,60.831083,,13.460374666666667,36.45756666666667,-0.04093951751475194,0.3724685444616962,,0.16576451347347212
MZ,7086,4181100.0,29668834.0,46.1,0.461,MOZ,0.291,10.3302032,,4.1154157666666675,22.908433333333335,-0.5304494678642202,-0.6218161387877964,,-0.5761328033260082
NAN,9,39525.0,2533794.0,28.7,0.287,,,,,,,,,,
NG,20015,7751725.0,190886311.0,70.0,0.7,NGA,0.284,16.757272,1150.5945333333332,4.510845433333333,11.178700000000001,-0.509735973180289,-0.4952770350862665,1.09171174990895,0.02889958054746485
NI,42519,30153225.0,6217581.0,29.6,0.296,NIC,0.135,21.84958175,346.83034,8.550532675000001,34.338766666666665,-0.2981280761037559,-0.39501728502173294,-0.622370393638493,-0.43850525158799397
NP,2215,756125.0,29304998.0,25.2,0.252,NPL,0.1159999999999999,17.69744525,,19.259418750000002,81.23683333333334,0.2628274451528826,-0.4767664692153746,,-0.106969512031246
PA,196,321275.0,4098587.0,23.0,0.23,PAN,,72.2473475,,20.289133,93.23826666666666,0.3167661918916873,0.5972372411107184,,0.45700171650120286
PE,86000,79437775.0,32165485.0,22.7,0.2269999999999999,PER,0.102,121.21605666666666,996.4957833333333,6.592104466666666,47.95340000000001,-0.4007149473016859,1.5613558401477927,0.7630856206177695,0.6412421711546253
PG,1,50000.0,8251162.0,37.0,0.37,PNG,,8.217720666666667,,1.5711483333333334,18.3293,-0.6637239143646505,-0.6634076721401604,,-0.6635657932524055
PH,285336,97984600.0,104918090.0,21.6,0.216,PHL,0.033,29.197117666666667,640.29136,9.1298253,49.190733333333334,-0.26778342642299996,-0.25035559891845066,0.003455312932402559,-0.1715612374696827
PK,45120,24995850.0,197015955.0,29.5,0.295,PAK,0.212,10.813004000000001,380.7980233333333,10.333502000000001,15.786499999999998,-0.20473213556565734,-0.612310533293363,-0.5499319845350975,-0.4556582177980393
PR,80,441900.0,3663131.0,,,PRI,,,,,,,,,
PS,13422,22316675.0,4920724.0,,,PSE,-0.001,0.946739,24.581509250000003,0.5095319275,47.338766666666665,-0.7193337677273717,-0.8065621227553857,-1.3095880765722048,-0.9451613223516541
PY,24787,53964700.0,6811297.0,22.2,0.222,PRY,,28.356444666666665,538.41156,10.791709766666665,46.9762,-0.18073018290744505,-0.266907157838448,-0.21381033216179612,-0.2204825576358964
RW,16774,29157325.0,12208407.0,39.1,0.391,RWA,0.179,4.8276566333333335,270.98700333333335,5.228736333333334,22.620800000000003,-0.4721312343498875,-0.7301528210747404,-0.7841114990095264,-0.6621318514780514
SB,903,815575.0,611343.0,,,SLB,,14.622923333333333,781.5184166666668,3.991756333333333,31.8513,-0.5369270269117238,-0.5372990789869877,0.30463167538539404,-0.2565314768377725
SL,15576,11967500.0,7557212.0,70.2,0.7020000000000001,SLE,0.28,,,,5.943536666666667,,,,
SN,12107,17952175.0,15850567.0,46.7,0.467,SEN,0.3299999999999999,6.014530233333333,216.94349333333335,5.530654066666666,29.47536666666667,-0.45631610490575225,-0.7067851045892708,-0.8993629822604238,-0.6874880639184823
SO,227,308725.0,14742523.0,,,SOM,0.358,,,,,,,,
SR,292,748925.0,563402.0,70.0,0.7,SUR,0.055,47.554125,1305.9809333333335,11.534235,24.00236666666667,-0.14183504233039784,0.11106565342638364,1.4230838809385087,0.4641048306781648
SS,5820,2418300.0,12575714.0,50.6,0.506,SSD,0.1319999999999999,0.6170343733333333,89.41430633333334,1.4107978,1.7184366666666666,-0.6721234356948631,-0.8130534999668212,-1.1713277003094746,-0.8855015453237196
SV,64037,41691550.0,6377853.0,34.9,0.349,SLV,0.0419999999999999,35.737535333333334,766.1536299999999,14.781508666666667,56.975300000000004,0.028264450706552376,-0.12158483029471172,0.2718652164124856,0.059514945608108764
TD,61,20075.0,14899994.0,46.7,0.467,TCD,0.258,1.2142046333333332,39.823515,0.87714107,9.516525,-0.7000775746270269,-0.8012961356365047,-1.2770834563059374,-0.9261523888564897
TG,17106,10022825.0,7797694.0,55.1,0.551,TGO,0.2749999999999999,6.242959966666667,229.00976333333332,5.390797666666667,26.927899999999998,-0.46364209747058366,-0.7022876743276281,-0.8736308357953662,-0.679853535864526
TH,247,608925.0,69037513.0,7.2,0.072,THA,0.002,114.80550999999998,1326.8845333333336,11.175094333333334,149.27733333333336,-0.1606476376333558,1.4351420318504813,1.467662238363544,0.914052210860223
TJ,43942,39622125.0,8921343.0,31.5,0.315,TJK,0.045,16.077023999999998,911.4042533333335,4.5570865,12.185566666666666,-0.5073137621796492,-0.5086700723935315,0.5816221101132111,-0.14478724148665653
TL,3816,3482400.0,1296311.0,41.8,0.418,TLS,0.238,11.329541599999999,528.7158933333334,5.9223066,14.637033333333335,-0.4358004649550787,-0.6021407020738592,-0.23448700479907694,-0.4241427239426716
TR,2008,903925.0,80745020.0,21.9,0.2189999999999999,TUR,,83.323952,1643.1847,16.118682,69.41019999999999,0.09830859525689734,0.8153185545527548,2.1421939880748293,1.0186070459614938
TZ,16110,18720300.0,57310019.0,22.8,0.228,TZA,0.2289999999999999,,,,12.826566666666666,,,,
UA,4994,7091800.0,44222947.0,24.1,0.241,UKR,0.003,95.80815399999999,1631.4932333333334,0.42154513999999993,30.904733333333336,-0.7239427134104324,1.061113298730512,2.117261135365748,0.8181439068952759
UG,45882,38386500.0,42862958.0,19.7,0.1969999999999999,UGA,0.2749999999999999,4.034095066666667,300.39230000000003,2.5352752333333335,13.888233333333332,-0.6132207804290281,-0.7457768283014846,-0.7214026916751026,-0.6934667668018717
US,9180,46352000.0,324459463.0,15.1,0.151,USA,,,,145.2182575,196.04166666666666,6.860834516386677,,,6.860834516386677
UY,1,8000.0,3456750.0,9.7,0.0969999999999999,URY,,213.76097333333334,1077.6225333333334,9.9645514,26.289133333333336,-0.2240585972248314,3.383422970833056,0.9360939664640099,1.3651527800240784
VC,16,49225.0,,,,VCT,,34.876629333333334,,16.275760666666667,45.055266666666675,0.10653672885745934,-0.13853474587851086,,-0.015999008510525763
VI,2,10000.0,,,,VIR,,,,,,,,,
VN,21839,24681100.0,95540800.0,11.3,0.113,VNM,0.023,93.33299675,,13.227020999999999,110.58233333333334,-0.053163107046415574,1.0123812577828033,,0.47960907536819386
VU,4,9250.0,,,,VUT,0.1159999999999999,47.83526833333334,638.7998533333333,21.012336,60.14169999999999,0.3546491904592452,0.11660093343017965,0.00027457290252768236,0.15717489893065084
WS,16435,12212175.0,196440.0,,,WSM,,55.67099366666667,1207.6263333333334,23.909734,90.03373333333333,0.5064214097166941,0.2708743186056069,1.213335966072344,0.6635438981315483
XK,2178,3083025.0,1895250.0,30.0,0.3,,,,,,,,,,
YE,4206,3444000.0,28250420.0,54.0,0.54,YEM,0.2239999999999999,,,,,,,,
ZA,633,1006525.0,56717156.0,16.6,0.166,ZAF,0.054,292.6495975,,46.0625745,116.28800000000001,1.6668369844983757,4.9366186973665656,,3.301727840932471
ZM,1277,1978975.0,17094130.0,60.5,0.605,ZMB,0.25,10.574562666666667,248.84104333333332,3.4528857666666664,15.262066666666664,-0.5651542783267932,-0.6170050765671798,-0.8313392741487623,-0.6711662096809118
ZW,5513,5851875.0,16529904.0,72.3,0.723,ZWE,0.168,6.395110499999999,553.3055266666667,4.4688663,7.791673333333333,-0.5119349345340637,-0.6992920642424039,-0.1820479290569135,-0.46442497594446036
